Starostni_razred,SNOMED_CT,Naziv,Datum_cepljenja,st_cepljenj
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-10,146
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-13,128
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-20,100
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-23,8
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-26,75
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-03,4
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-10,21
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-13,47
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-16,41
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-23,49
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-26,50
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-08,50
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-11,5
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-14,57
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-17,45
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-24,32
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-27,60
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-30,59
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-07,35
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-13,23
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-16,1
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-29,10
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-08,23
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-11,21
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-24,9
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-30,12
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-06,7
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-09,4
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-12,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-15,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-22,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-03-12,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-03-25,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-09-27,5
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-04,7
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-07,16
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-10,25
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-23,56
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-26,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-29,42
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-05,59
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-08,73
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-11,56
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-18,53
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-21,61
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-24,6
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-27,69
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-04,32
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-10,48
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-13,20
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-20,27
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-23,28
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-08,56
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-21,15
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-24,4
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-27,3
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-03,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-06,6
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-19,6
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-25,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-04,2
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-07,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-10,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-26,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-15,10
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-21,55
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-24,113
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-03,101
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-06,133
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-09,4
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-19,125
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-22,6
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-02,9
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-05,10
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-18,48
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-21,8
a: 6 mesecev - 17 let,46233009,Gripa,2023-10-24,66
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-03,44
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-06,53
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-09,85
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-16,69
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-22,57
a: 6 mesecev - 17 let,46233009,Gripa,2023-11-29,46
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-02,5
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-05,37
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-08,29
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-15,20
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-18,34
a: 6 mesecev - 17 let,46233009,Gripa,2023-12-21,39
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-03,24
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-09,24
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-16,10
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-19,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-22,12
a: 6 mesecev - 17 let,46233009,Gripa,2024-01-29,5
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-01,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-07,2
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-14,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-02-20,3
a: 6 mesecev - 17 let,46233009,Gripa,2024-03-01,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-04-05,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-04-15,1
a: 6 mesecev - 17 let,46233009,Gripa,2024-09-26,4
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-02,12
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-15,33
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-18,42
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-21,34
a: 6 mesecev - 17 let,46233009,Gripa,2024-10-28,32
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-13,74
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-19,67
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-26,52
a: 6 mesecev - 17 let,46233009,Gripa,2024-11-29,29
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-02,37
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-05,36
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-12,36
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-18,29
a: 6 mesecev - 17 let,46233009,Gripa,2024-12-28,3
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-03,9
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-10,25
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-13,26
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-16,39
a: 6 mesecev - 17 let,46233009,Gripa,2025-01-19,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-04,5
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-11,8
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-14,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-17,2
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-24,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-02-27,3
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-05,3
a: 6 mesecev - 17 let,46233009,Gripa,2025-03-28,1
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-13,10
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-16,4
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-23,86
a: 6 mesecev - 17 let,46233009,Gripa,2025-10-29,98
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-01,2
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-08,6
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-11,140
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-14,68
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-17,143
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-24,92
a: 6 mesecev - 17 let,46233009,Gripa,2025-11-27,68
a: 6 mesecev - 17 let,840534001,COVID-19,2023-09-21,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-17,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-20,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-02,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-08,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-15,3
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-18,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-01,3
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-04,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-07,5
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-14,15
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-20,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-01-12,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-05-13,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-07-19,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-09-09,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-09-18,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-04,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-14,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-17,4
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-30,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-12,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-15,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-25,2
a: 6 mesecev - 17 let,840534001,COVID-19,2025-01-09,2
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-15,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-28,3
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-07,6
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-10,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-13,2
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-20,9
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-26,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-09-14,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-10,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-13,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-19,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-26,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-04,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-11,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-14,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-17,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-24,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-27,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-30,3
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-13,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-01-11,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-02-15,5
a: 6 mesecev - 17 let,840534001,COVID-19,2024-06-13,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-09-05,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-09-30,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-10,5
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-23,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-05,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-08,7
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-14,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-21,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-10,3
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-13,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-08-05,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-09-19,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-09-25,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-21,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-24,10
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-27,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-03,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-06,5
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-19,3
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-25,1
b: 18 - 59 let,46233009,Gripa,2023-09-27,6
b: 18 - 59 let,46233009,Gripa,2023-10-03,83
b: 18 - 59 let,46233009,Gripa,2023-10-10,361
b: 18 - 59 let,46233009,Gripa,2023-10-13,398
b: 18 - 59 let,46233009,Gripa,2023-10-16,422
b: 18 - 59 let,46233009,Gripa,2023-10-19,623
b: 18 - 59 let,46233009,Gripa,2023-10-26,837
b: 18 - 59 let,46233009,Gripa,2023-10-29,5
b: 18 - 59 let,46233009,Gripa,2023-11-04,80
b: 18 - 59 let,46233009,Gripa,2023-11-11,85
b: 18 - 59 let,46233009,Gripa,2023-11-14,570
b: 18 - 59 let,46233009,Gripa,2023-11-17,428
b: 18 - 59 let,46233009,Gripa,2023-11-24,415
b: 18 - 59 let,46233009,Gripa,2023-11-27,200
b: 18 - 59 let,46233009,Gripa,2023-11-30,438
b: 18 - 59 let,46233009,Gripa,2023-12-10,1
b: 18 - 59 let,46233009,Gripa,2023-12-13,157
b: 18 - 59 let,46233009,Gripa,2023-12-16,9
b: 18 - 59 let,46233009,Gripa,2023-12-19,159
b: 18 - 59 let,46233009,Gripa,2023-12-26,1
b: 18 - 59 let,46233009,Gripa,2023-12-29,28
b: 18 - 59 let,46233009,Gripa,2024-01-08,74
b: 18 - 59 let,46233009,Gripa,2024-01-11,86
b: 18 - 59 let,46233009,Gripa,2024-01-17,45
b: 18 - 59 let,46233009,Gripa,2024-01-24,31
b: 18 - 59 let,46233009,Gripa,2024-01-30,31
b: 18 - 59 let,46233009,Gripa,2024-02-02,22
b: 18 - 59 let,46233009,Gripa,2024-02-09,1
b: 18 - 59 let,46233009,Gripa,2024-02-12,8
b: 18 - 59 let,46233009,Gripa,2024-02-15,19
b: 18 - 59 let,46233009,Gripa,2024-02-22,10
b: 18 - 59 let,46233009,Gripa,2024-02-28,1
b: 18 - 59 let,46233009,Gripa,2024-03-12,2
b: 18 - 59 let,46233009,Gripa,2024-03-15,1
b: 18 - 59 let,46233009,Gripa,2024-03-28,1
b: 18 - 59 let,46233009,Gripa,2024-03-31,1
b: 18 - 59 let,46233009,Gripa,2024-06-10,1
b: 18 - 59 let,46233009,Gripa,2024-07-31,1
b: 18 - 59 let,46233009,Gripa,2024-09-24,2
b: 18 - 59 let,46233009,Gripa,2024-09-27,41
b: 18 - 59 let,46233009,Gripa,2024-09-30,35
b: 18 - 59 let,46233009,Gripa,2024-10-07,315
b: 18 - 59 let,46233009,Gripa,2024-10-10,501
b: 18 - 59 let,46233009,Gripa,2024-10-16,577
b: 18 - 59 let,46233009,Gripa,2024-10-23,823
b: 18 - 59 let,46233009,Gripa,2024-10-26,44
b: 18 - 59 let,46233009,Gripa,2024-10-29,417
b: 18 - 59 let,46233009,Gripa,2024-11-05,790
b: 18 - 59 let,46233009,Gripa,2024-11-08,637
b: 18 - 59 let,46233009,Gripa,2024-11-11,462
b: 18 - 59 let,46233009,Gripa,2024-11-14,758
b: 18 - 59 let,46233009,Gripa,2024-11-21,489
b: 18 - 59 let,46233009,Gripa,2024-11-24,7
b: 18 - 59 let,46233009,Gripa,2024-11-27,325
b: 18 - 59 let,46233009,Gripa,2024-11-30,2
b: 18 - 59 let,46233009,Gripa,2024-12-07,4
b: 18 - 59 let,46233009,Gripa,2024-12-10,196
b: 18 - 59 let,46233009,Gripa,2024-12-13,129
b: 18 - 59 let,46233009,Gripa,2024-12-20,103
b: 18 - 59 let,46233009,Gripa,2024-12-23,90
b: 18 - 59 let,46233009,Gripa,2024-12-26,1
b: 18 - 59 let,46233009,Gripa,2024-12-29,1
b: 18 - 59 let,46233009,Gripa,2025-01-05,2
b: 18 - 59 let,46233009,Gripa,2025-01-08,333
b: 18 - 59 let,46233009,Gripa,2025-01-11,1
b: 18 - 59 let,46233009,Gripa,2025-01-14,199
b: 18 - 59 let,46233009,Gripa,2025-01-21,86
b: 18 - 59 let,46233009,Gripa,2025-01-24,33
b: 18 - 59 let,46233009,Gripa,2025-01-27,28
b: 18 - 59 let,46233009,Gripa,2025-02-03,14
b: 18 - 59 let,46233009,Gripa,2025-02-06,26
b: 18 - 59 let,46233009,Gripa,2025-02-12,9
b: 18 - 59 let,46233009,Gripa,2025-02-19,11
b: 18 - 59 let,46233009,Gripa,2025-02-25,8
b: 18 - 59 let,46233009,Gripa,2025-02-28,3
b: 18 - 59 let,46233009,Gripa,2025-03-10,4
b: 18 - 59 let,46233009,Gripa,2025-03-13,4
b: 18 - 59 let,46233009,Gripa,2025-03-20,1
b: 18 - 59 let,46233009,Gripa,2025-04-08,1
